,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
203,135,298,45.0,452.0,90.0,967.0,5311.012254206332,3.0,3454.0,1734.0
204,241,298,25.0,452.0,49.0,967.0,4687.200441842444,1.0,3855.0,1933.0
205,136,298,17.0,452.0,34.0,967.0,5118.939995379142,1.0,3562.0,1788.0
206,45,298,55.0,452.0,111.0,967.0,11139.974027346158,1.0,5757.0,2892.0
207,176,298,7.0,452.0,14.0,967.0,3763.167177709239,4.0,2303.0,1157.0
208,337,298,17.0,452.0,36.0,967.0,3243.380393967576,4.0,4199.0,2106.0
209,1008,298,8.0,452.0,16.0,967.0,1606.7424512864939,4.0,1952.0,979.0
210,272,298,11.0,452.0,23.0,967.0,4512.86011565153,2.0,4446.0,2226.0
211,213,298,12.0,452.0,24.0,967.0,2101.593215022507,1.0,730.0,368.0
212,1028,298,19.0,452.0,38.0,967.0,10346.475580354318,1.0,5562.0,2797.0
213,214,298,12.0,452.0,26.0,967.0,1834.0058402967647,4.0,524.0,264.0
214,955,298,34.0,452.0,67.0,967.0,3102.5741458810494,1.0,3069.0,1545.0
215,294,298,18.0,452.0,35.0,967.0,919.6373186061759,2.0,470.0,237.0
216,852,298,11.0,452.0,21.0,967.0,7936.1722647540355,1.0,5725.0,2873.0
217,290,298,21.0,452.0,41.0,967.0,1886.835983640629,2.0,1169.0,581.0
218,88,298,15.0,452.0,30.0,967.0,8523.033356615131,1.0,5422.0,2725.0
219,992,298,29.0,452.0,59.0,967.0,5168.511870527836,3.0,4848.0,2434.0
220,454,298,24.0,452.0,46.0,967.0,5792.93163073024,2.0,4845.0,2439.0
221,1070,298,9.0,452.0,18.0,967.0,16659.36249629241,1.0,5900.0,2964.0
222,139,298,9.0,452.0,18.0,967.0,6877.997054544174,1.0,4958.0,2492.0
223,22,298,5.0,452.0,10.0,967.0,13200.467881025554,1.0,5672.0,2847.0
224,993,298,9.0,452.0,19.0,967.0,5707.211298104297,1.0,4961.0,2492.0
225,173,298,6.0,452.0,12.0,967.0,3847.7782355767886,1.0,3091.0,1553.0
226,146,298,11.0,452.0,22.0,967.0,7609.639278864983,1.0,5493.0,2760.0
227,242,298,10.0,452.0,23.0,967.0,5255.466085413015,2.0,4089.0,2048.0
228,458,298,17.0,452.0,37.0,967.0,6600.246875827274,2.0,5040.0,2534.0
229,204,298,5.0,452.0,10.0,967.0,3700.6163279216958,1.0,2133.0,1072.0
230,175,298,9.0,452.0,18.0,967.0,3620.471510173545,3.0,2462.0,1237.0
231,227,298,6.0,452.0,12.0,967.0,2737.8514648018763,3.0,2163.0,1080.0
232,274,298,11.0,452.0,22.0,967.0,4503.626949091507,2.0,4236.0,2121.0
233,331,298,14.0,452.0,29.0,967.0,1736.1833586209257,3.0,1801.0,906.0
234,143,298,15.0,452.0,32.0,967.0,6239.791015920487,3.0,4198.0,2105.0
235,443,298,8.0,452.0,16.0,967.0,5677.148348024894,3.0,4850.0,2442.0
236,271,298,23.0,452.0,46.0,967.0,4731.793768058087,1.0,4359.0,2185.0
237,847,298,16.0,452.0,33.0,967.0,4803.329159838108,3.0,3906.0,1958.0
238,226,298,4.0,452.0,8.0,967.0,3111.979458993237,3.0,2520.0,1261.0
239,258,298,19.0,452.0,39.0,967.0,6176.041585273543,1.0,4280.0,2145.0
240,338,298,8.0,452.0,15.0,967.0,3586.794656197057,3.0,4527.0,2272.0
241,177,298,4.0,452.0,8.0,967.0,4375.972285496346,3.0,2904.0,1459.0
